project_name,notice_type,region,notice_date,bid_description,sector_description,link
nigeria for women project,contract award,none,26-jun-2024,"construction of cassava processing shed, drilling of borehole and other works for ten(10nos) collectives in isiala-ngwa north lga of abia state.","['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297889
bhutan: covid-19 emergency response and health systems preparedness project,contract award,none,26-jun-2024,"procurement of medical equipment -package 11- anesthesia machine (standard), and defibrillator system.","['health', 'public administration - health', 'health facilities and construction']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297891
burkina faso emergency local development and resilience project,contract award,none,26-jun-2024,travaux de normalisation du lycee de ligdi-malguem (1 bloc de 04 salles de classe+latrine scolaire pmr+latrine enseignant),"['public administration - social protection', 'social protection', 'rural and inter-urban roads', 'sub-national government', 'agricultural markets, commercialization and agri-business']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297887
climate smart irrigated agriculture project,contract award,none,26-jun-2024,"purchasing of 1 nos. of rain shelter, 8400 parachute trays 16 nos. of insect proof net-1/4 ac, 14 nos. poly mulch-1/4 ac, 14 nos. of drip irrigation system-1/4 ac with fertigation and 4 nos of sprinkler irrigation system -1/4 ac for north central province","['agricultural markets, commercialization and agri-business', 'ict services', 'irrigation and drainage', 'public administration - agriculture, fishing & forestry', 'agricultural extension, research, and other support activities']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297888
phase 2 of improving nutrition outcomes using the multiphase programmatic approach,contract award,none,26-jun-2024,acquisition des albendazolzes,"['health', 'health facilities and construction', 'agricultural extension, research, and other support activities', 'social protection', 'public administration - health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297884
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,26-jun-2024,contour trenching out side plantation area during 2023-24  under apo  ghumarwin for the year 2023-24.,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297886
senegal covid-19 response project,contract award,none,26-jun-2024,sélection d'une école pour la formation de 25 boursiers en formation en puériculture par entente directe,"['public administration - health', 'health', 'social protection']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297890
"agriculture governance, growth and resilience investment project",request for expression of interest,moldova,26-jun-2024,competitive selection of part-time procurement consultant under aggri project.,"['agricultural extension, research, and other support activities', 'livestock', 'public administration - agriculture, fishing & forestry', 'irrigation and drainage', 'agricultural markets, commercialization and agri-business']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297885
uganda covid-19 response and emergency preparedness project,contract award,none,26-jun-2024,"supply, installation and commissioning of eight (08) 50-100kg /hours incinerators at selected refugee host district health facilities","['public administration - health', 'health', 'health facilities and construction']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297883
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,26-jun-2024,renovation of water bauries at 8 different location of different gps under apo unit paonta of sirmaur distt. during 2023-24,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297882
bhutan: covid-19 emergency response and health systems preparedness project,contract award,none,26-jun-2024,"procurement of medical equipment -package 11- anesthesia machine (standard), and defibrillator system.","['health', 'public administration - health', 'health facilities and construction']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297881
