project_name,notice_type,region,notice_date,bid_description,sector_description
"STRENGTHENING PERU'S NATIONAL SCIENCE, TECHNOLOGY AND INNOVATION SYSTEM",Contract Award,Latin America And Caribbean,17-Jun-2024,Alquiler de Infraestructura en Nube para PeruCris,"Tertiary Education,Other Industry, Trade and Services,Public Administration - Industry, Trade and Services"
Nigeria Rural Access and Agricultural Marketing Project,Contract Award,Western And Central Africa,17-Jun-2024,"Procurement of promotional materials (Flip Charts, Memo etc.)","Rural and Inter-Urban Roads,Agricultural markets, commercialization and agri-business,Public Administration - Transportation"
TEGUCIGALPA: WATER SUPPLY STRENGTHENING PROJECT,Contract Award,Latin America And Caribbean,17-Jun-2024,Equipamiento de laboratorio para Control de Calidad,"Water Supply,Sanitation,Other Water Supply, Sanitation and Waste Management,Public Administration - Water, Sanitation and Waste Management"
TEGUCIGALPA: WATER SUPPLY STRENGTHENING PROJECT,Contract Award,Latin America And Caribbean,17-Jun-2024,Equipamiento de laboratorio para Control de Calidad,"Water Supply,Sanitation,Other Water Supply, Sanitation and Waste Management,Public Administration - Water, Sanitation and Waste Management"
Nigeria Rural Access and Agricultural Marketing Project,Contract Award,Western And Central Africa,17-Jun-2024,Construction/Upgrading of 46.6Km Rural Roads in Ondo State under Ondo RAAMP (Lot 1-5),"Rural and Inter-Urban Roads,Agricultural markets, commercialization and agri-business,Public Administration - Transportation"
Nigeria For Women Project,Contract Award,Western And Central Africa,17-Jun-2024,Supply and Installation of Rice Milling Equipment and Accessories for Six (6no) Women Collectives in Gurara LGA II in Niger State.,"Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Nigeria Rural Access and Agricultural Marketing Project,Contract Award,Western And Central Africa,17-Jun-2024,"Consultancy Services for preparation of ESMP for Rural Roads (Upgrading of Rural Roads, Spot Improvement, Cross-drainage structure, and Backlog Maintenance/Rehabilitation)","Rural and Inter-Urban Roads,Agricultural markets, commercialization and agri-business,Public Administration - Transportation"
Higher Education Project,Contract Award,Europe And Central Asia,17-Jun-2024,Purchase of furniture for the needs of the college,"Tertiary Education,ICT Services,Public Administration - Education"
Paraguay Public Health Sector Strengthening,Contract Award,Latin America And Caribbean,17-Jun-2024,Contratacion de Especialista en Administracion de Contrato,"Health Facilities and Construction,Public Administration - Health,Health"
Nigeria Rural Access and Agricultural Marketing Project,Contract Award,Western And Central Africa,17-Jun-2024,Construction/Upgrading of 46.6Km Rural Roads in Ondo State under Ondo RAAMP (Lot 1-5),"Rural and Inter-Urban Roads,Agricultural markets, commercialization and agri-business,Public Administration - Transportation"
National Urban Cadaster and Municipal Support Project,Contract Award,Latin America And Caribbean,17-Jun-2024,Servicio de Consultoría Individual QA Analyst - Fase 2,"Sub-National Government,ICT Infrastructure"
Social Protection Integration,Contract Award,Latin America And Caribbean,17-Jun-2024,Adquisición de diez Switches de Interconexión y distribución del Centro de Datos,"Workforce Development and Vocational Education,Adult, Basic and Continuing Education,Social Protection,Secondary Education,Public Administration - Social Protection"
"STRENGTHENING PERU'S NATIONAL SCIENCE, TECHNOLOGY AND INNOVATION SYSTEM",Contract Award,Latin America And Caribbean,17-Jun-2024,Monitores Técnicos para la supervisión de las actividades de promoción del escalamiento tecnológico,"Tertiary Education,Other Industry, Trade and Services,Public Administration - Industry, Trade and Services"
Nigeria Rural Access and Agricultural Marketing Project,Contract Award,Western And Central Africa,17-Jun-2024,Procurement of Civil Works Contractor for Spot Improvement of 75KM Rural Roads in Ondo State,"Rural and Inter-Urban Roads,Agricultural markets, commercialization and agri-business,Public Administration - Transportation"
Nigeria Rural Access and Agricultural Marketing Project,Contract Award,Western And Central Africa,17-Jun-2024,Procurement of Civil Works Contractor for Spot Improvement of 75KM Rural Roads in Ondo State,"Rural and Inter-Urban Roads,Agricultural markets, commercialization and agri-business,Public Administration - Transportation"
"STRENGTHENING PERU'S NATIONAL SCIENCE, TECHNOLOGY AND INNOVATION SYSTEM",Contract Award,Latin America And Caribbean,17-Jun-2024,Monitores Técnicos para la supervisión de las actividades de promoción del escalamiento tecnológico,"Tertiary Education,Other Industry, Trade and Services,Public Administration - Industry, Trade and Services"
Improving the Performance of Non-Criminal Justice Services,Contract Award,Latin America And Caribbean,17-Jun-2024,Arquitecto de datos,Law and Justice
Green Energy Corridors Project,General Procurement Notice,Eastern And Southern Africa,17-Jun-2024,,"Energy Transmission and Distribution,Renewable Energy Solar"
Livestock Productivity and Resilience Support Project,Contract Award,Western And Central Africa,17-Jun-2024,"Establishment of farmer field school for  Good Animal Husbandry  Practices (GAHPs)  in each Senatorial Areas (Ayingba, Adavi, Kotonkarfe)","Public Administration - Agriculture, Fishing & Forestry,Social Protection,Agricultural markets, commercialization and agri-business,Livestock"
Nigeria Rural Access and Agricultural Marketing Project,Contract Award,Western And Central Africa,17-Jun-2024,Rural Roads Upgrading of 82.32km Rural Roads in Plateau State (Lots 1 to 3),"Rural and Inter-Urban Roads,Agricultural markets, commercialization and agri-business,Public Administration - Transportation"
FSM Skills and Employability Enhancement Project,Contract Award,East Asia And Pacific,16-Jun-2024,Performance Grant - Yap High School Equipment,"Workforce Development and Vocational Education,Social Protection,Public Administration - Education"
Response - Recovery - Resilience for Conflict-Affected Communities in Ethiopia Project,Contract Award,Eastern And Southern Africa,16-Jun-2024,Procurement of ICT Equipment and Office Furniture for Weldia Yejju Sub City under Amhara Region,"Social Protection,Public Administration - Social Protection"
FSM Skills and Employability Enhancement Project,Contract Award,East Asia And Pacific,16-Jun-2024,Performance Grant - Yap High School Equipment,"Workforce Development and Vocational Education,Social Protection,Public Administration - Education"
Subnational Institutional Strengthening,Contract Award,Latin America And Caribbean,16-Jun-2024,"Prestar Servicios de consultoría individual al PFET del DNP, en las acciones y actividades para la provi-sión de asistencia técnica operativa en las áreas de gestión financiera y tributaria de los municipios objeto de pilotaje del MGT","Central Government (Central Agencies),Sub-National Government,Central Government (Central Agencies),Sub-National Government"
Harmonizing and Improving Statistics in West Africa,Contract Award,Western And Central Africa,16-Jun-2024,Recrutement de deux (02) consultants cartothécaires pour la mise en place du centre de cartographie,"Central Government (Central Agencies),ICT Infrastructure,Public Administration - Information and Communications Technologies,ICT Services"
Harmonizing and Improving Statistics in West Africa,Contract Award,Western And Central Africa,16-Jun-2024,Recrutement de deux (02) consultants cartothécaires pour la mise en place du centre de cartographie,"Central Government (Central Agencies),ICT Infrastructure,Public Administration - Information and Communications Technologies,ICT Services"
Response - Recovery - Resilience for Conflict-Affected Communities in Ethiopia Project,Contract Award,Eastern And Southern Africa,16-Jun-2024,Procurement of ICT Equipment and Office Furniture for Weldia Yejju Sub City under Amhara Region,"Social Protection,Public Administration - Social Protection"
Nigeria Rural Access and Agricultural Marketing Project,Contract Award,Western And Central Africa,17-Jun-2024,Construction/Upgrading of 46.6Km Rural Roads in Ondo State under Ondo RAAMP (Lot 1-5),"Rural and Inter-Urban Roads,Agricultural markets, commercialization and agri-business,Public Administration - Transportation"
Progestão Acre: Public Sector Management Efficiency,Request for Expression of Interest,Latin America And Caribbean,16-Jun-2024,"Contratacao de consultoria individual para Analista de Aquisicoes, com enfase no Gerenciamento de Contratos, para fortalecimento da UGP - SEPLAN","Public Administration - Education,Public Administration - Social Protection,Sub-National Government,Central Government (Central Agencies),Public Administration - Health"
Harmonizing and Improving Statistics in West Africa,Contract Award,Western And Central Africa,16-Jun-2024,Recrutement de trois consultants data scientist au profit de l'INS,"Central Government (Central Agencies),ICT Infrastructure,Public Administration - Information and Communications Technologies,ICT Services"
National Urban Cadaster and Municipal Support Project,Contract Award,Latin America And Caribbean,17-Jun-2024,Servicio de Consultoría Individual Especialista en Nube y Seguridad de la Información - Fase 2,"Sub-National Government,ICT Infrastructure"
Livestock Productivity and Resilience Support Project,Contract Award,Western And Central Africa,17-Jun-2024,"Construction of Borehole in Livestock Markets  (Drilling and installation of solar powered  with 10000 liter capacity steel overhead tank) in Ayingba, Okene and Egbe Livestock Markets","Public Administration - Agriculture, Fishing & Forestry,Social Protection,Agricultural markets, commercialization and agri-business,Livestock"
Digital Federated States of Micronesia Project,Request for Expression of Interest,East Asia And Pacific,16-Jun-2024,CIU Finance Officer 2024,"ICT Infrastructure,Public Administration - Information and Communications Technologies,ICT Services"
Ethiopia: National Quality Infrastructure Development Project,Contract Award,Eastern And Southern Africa,16-Jun-2024,"Recruitment of a firm for the production and broadcast of TV Panel Discussion, Documentary Film and advertising TV and Radio Spot","Public Administration - Industry, Trade and Services,Trade,Manufacturing,Agricultural markets, commercialization and agri-business"
National Urban Cadaster and Municipal Support Project,Contract Award,Latin America And Caribbean,17-Jun-2024,Servicio de Consultoría Individual Diseñador UX / UI - Fase 2,"Sub-National Government,ICT Infrastructure"
Pacific Islands Regional Oceanscape Program - Second Phase for Economic Resilience: Tuvalu,Request for Expression of Interest,East Asia And Pacific,16-Jun-2024,Cold storage (solar) specialist,"Fisheries,Public Administration - Agriculture, Fishing & Forestry"
Subnational Institutional Strengthening,Contract Award,Latin America And Caribbean,16-Jun-2024,"Prestar Servicios de consultoría individual al PFET del DNP, en las acciones y actividades para la provisión de asistencia técnica operativa en las áreas de gestión financiera y tributaria de los municipios objeto de pilotaje del MGT.","Central Government (Central Agencies),Sub-National Government,Central Government (Central Agencies),Sub-National Government"
